configuration,label,cutoff_bohr,median_A_rmse_cm-1,median_B_rmse_cm-1,median_A_over_B,min_A_over_B,max_A_over_B,B_win_count,A_win_count
primary,Primary,0.15,26269.8935608696,568.9391592834332,44.938180368190714,40.77238048550523,51.42734187287645,5,0
primary,Primary,0.25,8440.152991168565,264.14982993276504,31.952142438694228,27.969315479391682,36.411142818552236,5,0
primary,Primary,0.4,2480.689709241045,90.55865181107946,26.855603274361208,25.191543674676534,31.95401447381404,5,0
primary,Primary,0.7,650.4632218269753,125.50201239144192,5.214320064690394,4.227454585649822,7.303287040438797,5,0
primary,Primary,1.0,191.45691507785878,124.49504725819601,1.546268833082051,1.21575816690117,2.1162885675499647,5,0
primary,Primary,1.5,115.21214649908171,93.3862956744632,1.1871572878744294,0.9910271025510577,1.6552574372042845,4,1
primary,Primary,2.0,57.558938004696145,61.28550845978972,0.9539422948399648,0.783000175276181,1.1102297948648254,2,3
primary,Primary,3.0,2.882484993240281,31.2122834544993,0.10205022429281678,0.05472659951019401,0.12297407953215905,0,5
common-std,Common target scale,0.15,26269.8935608696,660.0318524137184,39.0260116209326,34.45318644256082,46.33788543129978,5,0
common-std,Common target scale,0.25,8440.152991168565,263.00025754188124,31.951479648614395,29.292222813980725,39.871337488741304,5,0
common-std,Common target scale,0.4,2480.689709241045,89.76029010045336,27.636828117030735,20.382874839203453,38.65016732999577,5,0
common-std,Common target scale,0.7,650.4632218269753,140.12969078969041,3.7345920558163535,3.4332344238851378,5.395697578253937,5,0
common-std,Common target scale,1.0,191.45691507785878,167.20598961683868,0.9923923602823641,0.9255561009532526,1.440804294844785,2,3
common-std,Common target scale,1.5,115.21214649908171,107.78780507695642,1.0060497779118642,0.9645894170473509,1.2573202654995594,3,2
common-std,Common target scale,2.0,57.558938004696145,73.13668256993007,0.7905885390082774,0.6532980613636838,1.0971542248972592,1,4
common-std,Common target scale,3.0,2.882484993240281,36.45513473314501,0.07572253845626188,0.042399208971502435,0.0888806812829155,0,5
hidden-10,10 hidden units,0.15,27440.80120722027,702.7196770101604,52.92758288938747,35.07103571435459,65.48928708863086,5,0
hidden-10,10 hidden units,0.25,8813.86600609025,362.85362943615553,31.71961644112627,22.957656250641374,43.5877630030286,5,0
hidden-10,10 hidden units,0.4,2880.9591315013117,253.19159811772099,10.377499227944158,8.44089751464379,26.55384106946393,5,0
hidden-10,10 hidden units,0.7,568.2165051601359,311.86676189984547,1.8219848171656583,1.0911523158167487,6.676448932094756,5,0
hidden-10,10 hidden units,1.0,180.66289715266083,263.53011777887707,0.8993139402026783,0.42736538326247003,2.2835302459101947,1,4
hidden-10,10 hidden units,1.5,108.57735610199049,187.7544120469259,0.8434595617063367,0.5619607983871824,1.8501957545204066,1,4
hidden-10,10 hidden units,2.0,92.77728180689998,126.08817134196615,0.8948408453443396,0.5599086756035877,1.226578674697319,2,3
hidden-10,10 hidden units,3.0,5.904739014900945,49.86685361682967,0.10588238436679992,0.04459091310537812,0.20511552270511085,0,5
hidden-20,20 hidden units,0.15,26993.91420376893,646.0967936134151,41.741392809400885,38.71327449400737,46.20382528217606,5,0
hidden-20,20 hidden units,0.25,9071.935773342917,315.4225490801739,30.906619745923823,28.07410108350694,34.655369663887356,5,0
hidden-20,20 hidden units,0.4,2996.9612228146248,149.64107718777413,19.007103252551186,16.203456688464566,28.031533601718234,5,0
hidden-20,20 hidden units,0.7,646.9957727892547,161.35665958342895,4.212798370171667,2.2031809598555268,5.32497442494476,5,0
hidden-20,20 hidden units,1.0,209.706531410094,145.37005371581472,1.4425703647331056,0.9148723184881065,1.6124331316138338,3,2
hidden-20,20 hidden units,1.5,121.0931940481413,110.47080926184587,1.0285223479279597,0.735523504289522,1.275237806795167,3,2
hidden-20,20 hidden units,2.0,63.242819453397935,80.33855007633598,0.787203893937667,0.5449740605103018,0.8312473367963912,0,5
hidden-20,20 hidden units,3.0,3.102204249952722,39.219303751116364,0.08566051957915743,0.05579213577659057,0.10656304874069424,0,5
constant-count,Constant point count,0.15,27575.673792708967,593.5168826466356,45.487589373045516,40.93408435254839,51.564208034246384,5,0
constant-count,Constant point count,0.25,8862.973373185901,274.4503821143683,32.78616151456986,29.458903142300436,37.1800609946004,5,0
constant-count,Constant point count,0.4,2662.827180633584,95.89173954299584,27.91687387897759,25.627424918955175,32.192339218720186,5,0
constant-count,Constant point count,0.7,708.1808115941051,130.84006740482755,5.454870854598908,4.7212301245879145,7.675858364419389,5,0
constant-count,Constant point count,1.0,203.60146157402767,128.94099334247946,1.5790281763476333,1.187301961196986,2.4162055439838115,5,0
constant-count,Constant point count,1.5,124.56669281004957,98.4512798381859,1.2129331990838095,1.0515226543154053,1.6809004640155525,5,0
constant-count,Constant point count,2.0,58.877701000315234,62.56523848521442,0.9433894188515392,0.7927293577345763,1.1103920285217486,2,3
constant-count,Constant point count,3.0,2.882484993240281,31.2122834544993,0.10205022429281678,0.05472659951019401,0.12297407953215905,0,5
lower-lr-long,"Longer, lower-rate fit",0.15,37689.41387219529,555.3710717329402,68.21082714273825,65.41564427045526,72.00045912961127,5,0
lower-lr-long,"Longer, lower-rate fit",0.25,11741.784163254708,255.51753340506735,47.42764992883103,44.54785764751918,49.01449695794257,5,0
lower-lr-long,"Longer, lower-rate fit",0.4,3554.5587533108633,88.05746801612965,37.706511771510414,35.82323371137099,43.88953761439162,5,0
lower-lr-long,"Longer, lower-rate fit",0.7,718.2321407952035,123.6595634007365,5.754027294977418,4.874592020586905,7.7462833199094066,5,0
lower-lr-long,"Longer, lower-rate fit",1.0,246.3771547886108,116.52393411708786,2.0878817742260716,1.86654912821034,2.957773803646011,5,0
lower-lr-long,"Longer, lower-rate fit",1.5,95.00453221570525,84.96788144611595,1.0328787318345842,0.9987188344565783,1.5240012675362564,4,1
lower-lr-long,"Longer, lower-rate fit",2.0,41.02790439894585,59.53692656932656,0.6748535402543749,0.6365530417484444,0.82703623968969,0,5
lower-lr-long,"Longer, lower-rate fit",3.0,5.244300167854017,24.98895509713883,0.1656071007231441,0.11325404998295578,0.21078359142583034,0,5
qz-basis,aug-cc-pVQZ,0.15,26264.324676184697,561.0516897936011,45.60394820394685,41.32059229309532,52.19758638974186,5,0
qz-basis,aug-cc-pVQZ,0.25,8437.601516642453,256.293870368523,32.92158920738171,28.685943170568,37.601372202440636,5,0
qz-basis,aug-cc-pVQZ,0.4,2479.4552829810896,89.66112515706345,27.171753948334555,25.17676948205765,32.707142509861804,5,0
qz-basis,aug-cc-pVQZ,0.7,651.5384387598286,124.38035298736301,5.2685494626214275,4.282220937362325,7.39260859410406,5,0
qz-basis,aug-cc-pVQZ,1.0,191.27124183763874,124.76219012273494,1.5412801490430932,1.2171903919305378,2.111955654696385,5,0
qz-basis,aug-cc-pVQZ,1.5,115.24348503390561,93.73761607936528,1.181889067671016,0.9892498348636247,1.6439508764201336,4,1
qz-basis,aug-cc-pVQZ,2.0,57.49774843183921,61.33593718190226,0.9513805405572042,0.780935583647706,1.1075221548889986,2,3
qz-basis,aug-cc-pVQZ,3.0,3.0038336180016754,31.1009997144203,0.10680350138255172,0.056849446490094255,0.12269103116642482,0,5
log-input,log R input,0.15,642.7679334371496,131.1834614637697,4.378572186602372,3.725423050988791,7.402598274647972,5,0
log-input,log R input,0.25,401.98910620906435,87.49669804112844,3.8917388100557346,2.818752925958267,5.661126178853434,5,0
log-input,log R input,0.4,226.16755889344716,58.20239555666316,3.852336140074115,2.2029806809249455,4.5478734667536935,5,0
log-input,log R input,0.7,59.6235779143488,42.580344409469824,1.4187616751409475,0.4867912775960532,2.2416252326047443,4,1
log-input,log R input,1.0,27.543595853780246,57.35318229173281,0.4579939815868631,0.3594229455563104,0.7515524892663825,0,5
log-input,log R input,1.5,18.98529960185367,84.080566986192,0.24091238152278865,0.17391745563023728,0.31183892486152376,0,5
log-input,log R input,2.0,18.12986311072373,80.67952344430971,0.25439475211629103,0.2091202231825698,0.265862096786146,0,5
log-input,log R input,3.0,1.9651850828980244,32.34192704167839,0.059883233233374036,0.04254758709727183,0.14212505182720434,0,5
