nm,benzene_b3lyp,benzene_camb3lyp,aniline_b3lyp,aniline_camb3lyp,nitrobenzene_b3lyp,nitrobenzene_camb3lyp,pNA_b3lyp,pNA_camb3lyp
412.5,1.027e-154,7.214e-162,7.819e-25,2.876e-31,3.374e-16,6.523e-21,9.854e-06,1.93e-15
413,5.296e-155,3.664e-162,5.932e-25,2.116e-31,2.692e-16,5.112e-21,8.385e-06,1.533e-15
413.5,2.733e-155,1.863e-162,4.501e-25,1.557e-31,2.148e-16,4.007e-21,7.134e-06,1.217e-15
414,1.411e-155,9.483e-163,3.416e-25,1.146e-31,1.713e-16,3.14e-21,6.068e-06,9.668e-16
414.5,7.298e-156,4.832e-163,2.592e-25,8.436e-32,1.367e-16,2.461e-21,5.161e-06,7.678e-16
415,3.777e-156,2.464e-163,1.967e-25,6.211e-32,1.09e-16,1.928e-21,4.388e-06,6.097e-16
415.5,1.957e-156,1.258e-163,1.493e-25,4.573e-32,8.699e-17,1.511e-21,3.73e-06,4.842e-16
416,1.015e-156,6.43e-164,1.134e-25,3.368e-32,6.939e-17,1.184e-21,3.171e-06,3.845e-16
416.5,5.268e-157,3.29e-164,8.605e-26,2.481e-32,5.535e-17,9.281e-22,2.694e-06,3.053e-16
417,2.737e-157,1.685e-164,6.533e-26,1.827e-32,4.415e-17,7.273e-22,2.289e-06,2.424e-16
417.5,1.424e-157,8.638e-165,4.96e-26,1.346e-32,3.521e-17,5.7e-22,1.945e-06,1.925e-16
418,7.413e-158,4.433e-165,3.766e-26,9.921e-33,2.809e-17,4.467e-22,1.652e-06,1.528e-16
418.5,3.863e-158,2.277e-165,2.86e-26,7.312e-33,2.24e-17,3.501e-22,1.402e-06,1.213e-16
419,2.015e-158,1.171e-165,2.172e-26,5.39e-33,1.787e-17,2.744e-22,1.191e-06,9.635e-17
419.5,1.052e-158,6.029e-166,1.65e-26,3.974e-33,1.425e-17,2.15e-22,1.011e-06,7.65e-17
420,5.501e-159,3.107e-166,1.253e-26,2.93e-33,1.137e-17,1.685e-22,8.579e-07,6.073e-17
420.5,2.878e-159,1.603e-166,9.521e-27,2.161e-33,9.064e-18,1.321e-22,7.28e-07,4.822e-17
421,1.508e-159,8.275e-167,7.233e-27,1.594e-33,7.229e-18,1.035e-22,6.176e-07,3.828e-17
421.5,7.904e-160,4.277e-167,5.496e-27,1.176e-33,5.765e-18,8.116e-23,5.239e-07,3.04e-17
422,4.148e-160,2.213e-167,4.177e-27,8.677e-34,4.598e-18,6.361e-23,4.444e-07,2.413e-17
422.5,2.179e-160,1.146e-167,3.174e-27,6.404e-34,3.667e-18,4.986e-23,3.769e-07,1.916e-17
423,1.146e-160,5.942e-168,2.413e-27,4.727e-34,2.924e-18,3.909e-23,3.195e-07,1.521e-17
423.5,6.029e-161,3.084e-168,1.834e-27,3.489e-34,2.332e-18,3.064e-23,2.709e-07,1.208e-17
424,3.176e-161,1.602e-168,1.394e-27,2.577e-34,1.86e-18,2.402e-23,2.296e-07,9.588e-18
424.5,1.675e-161,8.331e-169,1.06e-27,1.903e-34,1.483e-18,1.883e-23,1.946e-07,7.613e-18
425,8.842e-162,4.336e-169,8.06e-28,1.406e-34,1.183e-18,1.476e-23,1.649e-07,6.044e-18
425.5,4.672e-162,2.26e-169,6.129e-28,1.038e-34,9.433e-19,1.157e-23,1.397e-07,4.799e-18
426,2.471e-162,1.179e-169,4.662e-28,7.673e-35,7.523e-19,9.075e-24,1.184e-07,3.81e-18
426.5,1.308e-162,6.153e-170,3.546e-28,5.67e-35,5.999e-19,7.115e-24,1.003e-07,3.025e-18
427,6.931e-163,3.216e-170,2.697e-28,4.192e-35,4.785e-19,5.579e-24,8.491e-08,2.402e-18
427.5,3.676e-163,1.682e-170,2.052e-28,3.099e-35,3.816e-19,4.375e-24,7.19e-08,1.907e-18
428,1.952e-163,8.81e-171,1.562e-28,2.291e-35,3.043e-19,3.431e-24,6.088e-08,1.514e-18
428.5,1.037e-163,4.618e-171,1.188e-28,1.695e-35,2.427e-19,2.691e-24,5.154e-08,1.202e-18
429,5.517e-164,2.423e-171,9.045e-29,1.254e-35,1.936e-19,2.11e-24,4.363e-08,9.548e-19
429.5,2.938e-164,1.273e-171,6.885e-29,9.276e-36,1.544e-19,1.655e-24,3.692e-08,7.581e-19
430,1.566e-164,6.691e-172,5.241e-29,6.864e-36,1.232e-19,1.298e-24,3.125e-08,6.02e-19
430.5,8.352e-165,3.521e-172,3.991e-29,5.08e-36,9.823e-20,1.018e-24,2.644e-08,4.781e-19
431,4.46e-165,1.855e-172,3.039e-29,3.761e-36,7.835e-20,7.988e-25,2.237e-08,3.797e-19
431.5,2.384e-165,9.78e-173,2.314e-29,2.785e-36,6.25e-20,6.266e-25,1.892e-08,3.015e-19
432,1.275e-165,5.162e-173,1.763e-29,2.062e-36,4.985e-20,4.916e-25,1.601e-08,2.395e-19
432.5,6.829e-166,2.727e-173,1.343e-29,1.528e-36,3.977e-20,3.857e-25,1.354e-08,1.902e-19
433,3.66e-166,1.442e-173,1.023e-29,1.132e-36,3.172e-20,3.026e-25,1.145e-08,1.511e-19
433.5,1.964e-166,7.635e-174,7.795e-30,8.387e-37,2.531e-20,2.375e-25,9.682e-09,1.2e-19
434,1.055e-166,4.046e-174,5.94e-30,6.216e-37,2.019e-20,1.864e-25,8.186e-09,9.53e-20
434.5,5.669e-167,2.146e-174,4.528e-30,4.608e-37,1.611e-20,1.463e-25,6.921e-09,7.57e-20
435,3.05e-167,1.139e-174,3.451e-30,3.417e-37,1.285e-20,1.148e-25,5.85e-09,6.013e-20
435.5,1.642e-167,6.054e-175,2.631e-30,2.534e-37,1.025e-20,9.01e-26,4.945e-09,4.777e-20
436,8.853e-168,3.22e-175,2.006e-30,1.88e-37,8.182e-21,7.072e-26,4.179e-09,3.795e-20
436.5,4.777e-168,1.715e-175,1.53e-30,1.394e-37,6.529e-21,5.552e-26,3.532e-09,3.015e-20
437,2.58e-168,9.139e-176,1.167e-30,1.035e-37,5.21e-21,4.359e-26,2.984e-09,2.395e-20
437.5,1.394e-168,4.875e-176,8.902e-31,7.68e-38,4.158e-21,3.422e-26,2.522e-09,1.903e-20
438,7.544e-169,2.603e-176,6.791e-31,5.702e-38,3.318e-21,2.687e-26,2.13e-09,1.512e-20
438.5,4.086e-169,1.391e-176,5.182e-31,4.234e-38,2.648e-21,2.11e-26,1.8e-09,1.202e-20
439,2.215e-169,7.444e-177,3.955e-31,3.144e-38,2.113e-21,1.657e-26,1.52e-09,9.55e-21
439.5,1.202e-169,3.987e-177,3.018e-31,2.336e-38,1.687e-21,1.301e-26,1.284e-09,7.59e-21
440,6.525e-170,2.137e-177,2.304e-31,1.735e-38,1.347e-21,1.022e-26,1.084e-09,6.032e-21
440.5,3.547e-170,1.147e-177,1.759e-31,1.29e-38,1.075e-21,8.03e-27,9.158e-10,4.794e-21
441,1.93e-170,6.158e-178,1.343e-31,9.586e-39,8.581e-22,6.308e-27,7.733e-10,3.811e-21
441.5,1.051e-170,3.31e-178,1.026e-31,7.127e-39,6.85e-22,4.956e-27,6.53e-10,3.029e-21
442,5.728e-171,1.781e-178,7.837e-32,5.3e-39,5.469e-22,3.894e-27,5.513e-10,2.408e-21
442.5,3.125e-171,9.593e-179,5.987e-32,3.942e-39,4.367e-22,3.06e-27,4.654e-10,1.914e-21
443,1.706e-171,5.171e-179,4.574e-32,2.933e-39,3.487e-22,2.405e-27,3.929e-10,1.522e-21
443.5,9.326e-172,2.791e-179,3.496e-32,2.182e-39,2.784e-22,1.89e-27,3.317e-10,1.21e-21
444,5.102e-172,1.507e-179,2.672e-32,1.624e-39,2.224e-22,1.486e-27,2.799e-10,9.623e-22
444.5,2.793e-172,8.148e-180,2.042e-32,1.209e-39,1.776e-22,1.168e-27,2.363e-10,7.653e-22
445,1.531e-172,4.409e-180,1.561e-32,9.002e-40,1.418e-22,9.181e-28,1.994e-10,6.086e-22
445.5,8.398e-173,2.388e-180,1.194e-32,6.704e-40,1.133e-22,7.218e-28,1.683e-10,4.84e-22
446,4.611e-173,1.295e-180,9.132e-33,4.994e-40,9.05e-23,5.676e-28,1.42e-10,3.85e-22
446.5,2.534e-173,7.025e-181,6.985e-33,3.721e-40,7.229e-23,4.463e-28,1.198e-10,3.062e-22
447,1.394e-173,3.816e-181,5.344e-33,2.773e-40,5.776e-23,3.51e-28,1.011e-10,2.436e-22
447.5,7.673e-174,2.074e-181,4.089e-33,2.067e-40,4.614e-23,2.761e-28,8.53e-11,1.938e-22
448,4.228e-174,1.129e-181,3.129e-33,1.541e-40,3.687e-23,2.172e-28,7.196e-11,1.542e-22
448.5,2.332e-174,6.148e-182,2.395e-33,1.149e-40,2.946e-23,1.709e-28,6.071e-11,1.227e-22
449,1.287e-174,3.352e-182,1.834e-33,8.573e-41,2.355e-23,1.344e-28,5.121e-11,9.764e-23
449.5,7.112e-175,1.829e-182,1.404e-33,6.396e-41,1.882e-23,1.058e-28,4.32e-11,7.77e-23
450,3.933e-175,9.989e-183,1.075e-33,4.773e-41,1.504e-23,8.325e-29,3.644e-11,6.184e-23
450.5,2.177e-175,5.46e-183,8.235e-34,3.562e-41,1.202e-23,6.552e-29,3.073e-11,4.922e-23
451,1.206e-175,2.988e-183,6.309e-34,2.66e-41,9.611e-24,5.158e-29,2.592e-11,3.918e-23
451.5,6.687e-176,1.636e-183,4.834e-34,1.986e-41,7.683e-24,4.06e-29,2.186e-11,3.119e-23
452,3.711e-176,8.97e-184,3.704e-34,1.483e-41,6.143e-24,3.197e-29,1.844e-11,2.483e-23
452.5,2.061e-176,4.921e-184,2.839e-34,1.108e-41,4.912e-24,2.517e-29,1.555e-11,1.977e-23
453,1.146e-176,2.703e-184,2.176e-34,8.282e-42,3.928e-24,1.982e-29,1.311e-11,1.574e-23
453.5,6.377e-177,1.486e-184,1.669e-34,6.19e-42,3.141e-24,1.561e-29,1.106e-11,1.254e-23
454,3.552e-177,8.173e-185,1.28e-34,4.628e-42,2.512e-24,1.23e-29,9.323e-12,9.986e-24
454.5,1.98e-177,4.501e-185,9.815e-35,3.461e-42,2.01e-24,9.687e-30,7.861e-12,7.954e-24
455,1.105e-177,2.481e-185,7.529e-35,2.588e-42,1.608e-24,7.632e-30,6.628e-12,6.336e-24
455.5,6.168e-178,1.369e-185,5.777e-35,1.936e-42,1.286e-24,6.013e-30,5.588e-12,5.048e-24
456,3.447e-178,7.556e-186,4.433e-35,1.449e-42,1.029e-24,4.739e-30,4.712e-12,4.022e-24
456.5,1.928e-178,4.176e-186,3.402e-35,1.085e-42,8.234e-25,3.735e-30,3.972e-12,3.205e-24
457,1.08e-178,2.31e-186,2.612e-35,8.119e-43,6.589e-25,2.944e-30,3.349e-12,2.554e-24
457.5,6.049e-179,1.279e-186,2.005e-35,6.08e-43,5.273e-25,2.321e-30,2.823e-12,2.035e-24
458,3.393e-179,7.087e-187,1.54e-35,4.554e-43,4.221e-25,1.83e-30,2.38e-12,1.622e-24
458.5,1.904e-179,3.931e-187,1.183e-35,3.412e-43,3.379e-25,1.443e-30,2.006e-12,1.293e-24
459,1.07e-179,2.182e-187,9.088e-36,2.557e-43,2.705e-25,1.138e-30,1.691e-12,1.031e-24
459.5,6.016e-180,1.212e-187,6.983e-36,1.916e-43,2.165e-25,8.974e-31,1.426e-12,8.218e-25
460,3.386e-180,6.743e-188,5.366e-36,1.437e-43,1.734e-25,7.079e-31,1.202e-12,6.553e-25
460.5,1.907e-180,3.753e-188,4.125e-36,1.077e-43,1.388e-25,5.585e-31,1.013e-12,5.226e-25
461,1.075e-180,2.091e-188,3.171e-36,8.081e-44,1.112e-25,4.406e-31,8.54e-13,4.168e-25
461.5,6.066e-181,1.166e-188,2.438e-36,6.062e-44,8.906e-26,3.477e-31,7.198e-13,3.324e-25
462,3.426e-181,6.507e-189,1.875e-36,4.549e-44,7.134e-26,2.744e-31,6.067e-13,2.652e-25
462.5,1.936e-181,3.634e-189,1.442e-36,3.415e-44,5.715e-26,2.166e-31,5.114e-13,2.116e-25
463,1.095e-181,2.032e-189,1.11e-36,2.564e-44,4.579e-26,1.71e-31,4.311e-13,1.688e-25
463.5,6.201e-182,1.137e-189,8.54e-37,1.925e-44,3.669e-26,1.35e-31,3.633e-13,1.347e-25
464,3.514e-182,6.368e-190,6.572e-37,1.446e-44,2.94e-26,1.066e-31,3.063e-13,1.075e-25
464.5,1.993e-182,3.569e-190,5.059e-37,1.087e-44,2.357e-26,8.419e-32,2.581e-13,8.579e-26
465,1.131e-182,2.003e-190,3.895e-37,8.166e-45,1.889e-26,6.65e-32,2.176e-13,6.848e-26
465.5,6.426e-183,1.124e-190,3e-37,6.138e-45,1.514e-26,5.253e-32,1.834e-13,5.467e-26
466,3.653e-183,6.319e-191,2.311e-37,4.615e-45,1.214e-26,4.15e-32,1.546e-13,4.365e-26
466.5,2.079e-183,3.555e-191,1.78e-37,3.471e-45,9.733e-27,3.279e-32,1.303e-13,3.485e-26
467,1.184e-183,2.001e-191,1.372e-37,2.611e-45,7.805e-27,2.592e-32,1.098e-13,2.783e-26
467.5,6.749e-184,1.128e-191,1.057e-37,1.964e-45,6.259e-27,2.048e-32,9.254e-14,2.223e-26
468,3.85e-184,6.359e-192,8.148e-38,1.478e-45,5.021e-27,1.619e-32,7.8e-14,1.776e-26
468.5,2.198e-184,3.589e-192,6.282e-38,1.113e-45,4.027e-27,1.28e-32,6.574e-14,1.418e-26
469,1.256e-184,2.028e-192,4.844e-38,8.38e-46,3.231e-27,1.012e-32,5.541e-14,1.133e-26
469.5,7.184e-185,1.146e-192,3.736e-38,6.312e-46,2.592e-27,8.005e-33,4.671e-14,9.056e-27
470,4.112e-185,6.488e-193,2.882e-38,4.755e-46,2.08e-27,6.332e-33,3.937e-14,7.237e-27
470.5,2.356e-185,3.675e-193,2.224e-38,3.583e-46,1.669e-27,5.009e-33,3.318e-14,5.784e-27
471,1.351e-185,2.083e-193,1.716e-38,2.7e-46,1.34e-27,3.963e-33,2.797e-14,4.624e-27
471.5,7.75e-186,1.182e-193,1.325e-38,2.036e-46,1.076e-27,3.136e-33,2.357e-14,3.696e-27
472,4.45e-186,6.71e-194,1.023e-38,1.535e-46,8.635e-28,2.482e-33,1.987e-14,2.955e-27
472.5,2.558e-186,3.813e-194,7.897e-39,1.158e-46,6.933e-28,1.964e-33,1.675e-14,2.363e-27
473,1.471e-186,2.169e-194,6.099e-39,8.736e-47,5.568e-28,1.555e-33,1.412e-14,1.89e-27
473.5,8.471e-187,1.235e-194,4.711e-39,6.593e-47,4.471e-28,1.231e-33,1.19e-14,1.512e-27
474,4.881e-187,7.035e-195,3.64e-39,4.976e-47,3.592e-28,9.749e-34,1.003e-14,1.209e-27
474.5,2.814e-187,4.011e-195,2.813e-39,3.757e-47,2.885e-28,7.721e-34,8.456e-15,9.674e-28
475,1.624e-187,2.289e-195,2.174e-39,2.838e-47,2.318e-28,6.115e-34,7.128e-15,7.741e-28
475.5,9.381e-188,1.308e-195,1.681e-39,2.144e-47,1.862e-28,4.845e-34,6.009e-15,6.194e-28
476,5.423e-188,7.475e-196,1.3e-39,1.62e-47,1.497e-28,3.839e-34,5.065e-15,4.958e-28
476.5,3.137e-188,4.277e-196,1.005e-39,1.224e-47,1.203e-28,3.042e-34,4.27e-15,3.968e-28
477,1.816e-188,2.449e-196,7.777e-40,9.253e-48,9.669e-29,2.411e-34,3.6e-15,3.177e-28
477.5,1.053e-188,1.403e-196,6.017e-40,6.997e-48,7.773e-29,1.911e-34,3.035e-15,2.544e-28
478,6.104e-189,8.05e-197,4.657e-40,5.292e-48,6.25e-29,1.515e-34,2.559e-15,2.037e-28
478.5,3.543e-189,4.621e-197,3.604e-40,4.004e-48,5.026e-29,1.201e-34,2.157e-15,1.631e-28
479,2.058e-189,2.655e-197,2.791e-40,3.03e-48,4.042e-29,9.528e-35,1.819e-15,1.307e-28
479.5,1.196e-189,1.527e-197,2.161e-40,2.293e-48,3.251e-29,7.557e-35,1.533e-15,1.047e-28
480,6.96e-190,8.785e-198,1.674e-40,1.736e-48,2.615e-29,5.995e-35,1.293e-15,8.386e-29
480.5,4.052e-190,5.059e-198,1.296e-40,1.315e-48,2.104e-29,4.756e-35,1.09e-15,6.719e-29
481,2.361e-190,2.916e-198,1.005e-40,9.959e-49,1.693e-29,3.774e-35,9.193e-16,5.385e-29
481.5,1.377e-190,1.682e-198,7.785e-41,7.546e-49,1.362e-29,2.996e-35,7.752e-16,4.316e-29
482,8.038e-191,9.713e-199,6.035e-41,5.719e-49,1.097e-29,2.378e-35,6.537e-16,3.46e-29
482.5,4.695e-191,5.613e-199,4.679e-41,4.335e-49,8.827e-30,1.888e-35,5.512e-16,2.774e-29
483,2.745e-191,3.246e-199,3.628e-41,3.287e-49,7.106e-30,1.499e-35,4.648e-16,2.224e-29
483.5,1.606e-191,1.879e-199,2.814e-41,2.493e-49,5.722e-30,1.19e-35,3.92e-16,1.784e-29
484,9.402e-192,1.088e-199,2.183e-41,1.891e-49,4.608e-30,9.456e-36,3.306e-16,1.431e-29
484.5,5.509e-192,6.308e-200,1.694e-41,1.435e-49,3.711e-30,7.512e-36,2.788e-16,1.148e-29
485,3.231e-192,3.66e-200,1.315e-41,1.089e-49,2.989e-30,5.968e-36,2.352e-16,9.207e-30
485.5,1.896e-192,2.125e-200,1.021e-41,8.27e-50,2.408e-30,4.743e-36,1.984e-16,7.388e-30
486,1.114e-192,1.235e-200,7.924e-42,6.28e-50,1.94e-30,3.77e-36,1.673e-16,5.929e-30
486.5,6.546e-193,7.182e-201,6.154e-42,4.771e-50,1.564e-30,2.997e-36,1.411e-16,4.758e-30
487,3.851e-193,4.18e-201,4.78e-42,3.625e-50,1.26e-30,2.382e-36,1.191e-16,3.82e-30
487.5,2.267e-193,2.435e-201,3.714e-42,2.755e-50,1.016e-30,1.894e-36,1.004e-16,3.067e-30
488,1.336e-193,1.42e-201,2.886e-42,2.094e-50,8.189e-31,1.507e-36,8.473e-17,2.462e-30
488.5,7.876e-194,8.283e-202,2.243e-42,1.592e-50,6.602e-31,1.198e-36,7.148e-17,1.977e-30
489,4.648e-194,4.837e-202,1.744e-42,1.211e-50,5.324e-31,9.534e-37,6.031e-17,1.588e-30
489.5,2.745e-194,2.826e-202,1.356e-42,9.213e-51,4.294e-31,7.586e-37,5.088e-17,1.276e-30
490,1.622e-194,1.653e-202,1.055e-42,7.01e-51,3.464e-31,6.037e-37,4.294e-17,1.025e-30
490.5,9.595e-195,9.675e-203,8.204e-43,5.336e-51,2.794e-31,4.806e-37,3.623e-17,8.237e-31
491,5.679e-195,5.667e-203,6.383e-43,4.062e-51,2.255e-31,3.826e-37,3.057e-17,6.62e-31
491.5,3.364e-195,3.322e-203,4.967e-43,3.094e-51,1.819e-31,3.046e-37,2.58e-17,5.321e-31
492,1.994e-195,1.949e-203,3.867e-43,2.357e-51,1.468e-31,2.426e-37,2.177e-17,4.277e-31
492.5,1.183e-195,1.144e-203,3.01e-43,1.796e-51,1.185e-31,1.932e-37,1.837e-17,3.439e-31
493,7.026e-196,6.725e-204,2.344e-43,1.368e-51,9.569e-32,1.539e-37,1.551e-17,2.765e-31
493.5,4.175e-196,3.955e-204,1.826e-43,1.043e-51,7.726e-32,1.226e-37,1.309e-17,2.224e-31
494,2.482e-196,2.328e-204,1.423e-43,7.954e-52,6.239e-32,9.772e-38,1.105e-17,1.789e-31
494.5,1.477e-196,1.371e-204,1.108e-43,6.067e-52,5.039e-32,7.788e-38,9.327e-18,1.439e-31
495,8.798e-197,8.081e-205,8.639e-44,4.628e-52,4.071e-32,6.208e-38,7.873e-18,1.158e-31
495.5,5.244e-197,4.767e-205,6.735e-44,3.532e-52,3.289e-32,4.95e-38,6.647e-18,9.318e-32
496,3.127e-197,2.814e-205,5.251e-44,2.696e-52,2.657e-32,3.947e-38,5.612e-18,7.5e-32
496.5,1.867e-197,1.663e-205,4.095e-44,2.058e-52,2.148e-32,3.148e-38,4.738e-18,6.037e-32
497,1.115e-197,9.832e-206,3.195e-44,1.572e-52,1.736e-32,2.511e-38,4.001e-18,4.86e-32
497.5,6.666e-198,5.818e-206,2.493e-44,1.201e-52,1.403e-32,2.003e-38,3.378e-18,3.913e-32
498,3.988e-198,3.445e-206,1.945e-44,9.175e-53,1.134e-32,1.599e-38,2.853e-18,3.152e-32
498.5,2.388e-198,2.042e-206,1.518e-44,7.012e-53,9.174e-33,1.276e-38,2.409e-18,2.538e-32
499,1.43e-198,1.211e-206,1.185e-44,5.36e-53,7.419e-33,1.018e-38,2.035e-18,2.045e-32
499.5,8.577e-199,7.189e-207,9.257e-45,4.099e-53,6.001e-33,8.131e-39,1.718e-18,1.648e-32
500,5.146e-199,4.27e-207,7.23e-45,3.135e-53,4.855e-33,6.492e-39,1.451e-18,1.328e-32
